year,revenue,cost_of_revenue,gross_profit,operating_income,net_income,eps,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash,inventory,total_debt,shares_outstanding,operating_cash_flow,capex,price
2023,383285,214137,169148,114301,96995,6.13,352583,290437,62146,143566,145308,29965,6331,111088,15800,110543,10959,190.00
2024,391035,220000,171035,123216,93736,6.08,364980,308030,56950,152987,176392,29943,7286,106629,15100,118254,9447,250.42
