year,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash,inventory,total_debt,shares_outstanding
2023,411976,205753,206223,184257,104149,111262,2500,47844,7460
2024,512163,243686,268477,159734,125286,18300,3000,42688,7430
