year,revenue,cost_of_revenue,gross_profit,operating_income,net_income,eps,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash,inventory,total_debt,shares_outstanding,operating_cash_flow,capex,price
2023,211915,65863,146052,88523,72361,9.68,411976,205753,206223,184257,104149,111262,2500,47844,7460,87582,28107,376.04
2024,245122,76000,169122,109433,88136,11.80,512163,243686,268477,159734,125286,18300,3000,42688,7430,118548,44477,421.50
