year,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash,inventory,total_debt,shares_outstanding
2023,106618,43009,63609,49616,28748,29094,13626,9573,3180
2024,122070,48600,73470,58000,34000,36500,12300,9000,3200
