year,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash,inventory,total_debt,shares_outstanding
2023,352583,290437,62146,143566,145308,29965,6331,111088,15800
2024,364980,308030,56950,152987,176392,29943,7286,106629,15100
